,Time,00,01,10,11,Bz,mz
0,0.0,4839,90,49,22,-2.0,-0.9634
1,2.08,4653,158,144,45,-0.5522529190220351,-0.9216
2,4.16,4632,169,128,71,-0.41525500128265885,-0.9122
3,6.24,4472,249,183,96,-0.36264206767775514,-0.8752
4,8.32,4369,219,247,165,-0.3342154773133064,-0.8408
5,10.4,3973,305,594,128,-0.3160167026204414,-0.769
