,Time,00,01,10,11,Bz,mz
0,0.0,4844,52,71,33,-2.0,-0.9621999999999999
1,2.08,4589,185,198,28,-0.5522529190220351,-0.9121999999999999
2,4.16,4542,154,207,97,-0.41525500128265885,-0.889
3,6.24,4429,199,308,64,-0.36264206767775514,-0.873
4,8.32,4340,313,232,115,-0.3342154773133064,-0.845
5,10.4,4238,271,398,93,-0.3160167026204414,-0.8290000000000001
