,Time,00,01,10,11,Bz,mz
0,0.0,4886,58,42,14,-2.0,-0.9743999999999999
1,2.08,4779,84,101,36,-0.5522529190220351,-0.9486
2,4.16,4597,219,121,63,-0.41525500128265885,-0.9068
3,6.24,4405,219,296,80,-0.36264206767775514,-0.865
4,8.32,4176,269,370,185,-0.3342154773133064,-0.7982
5,10.4,3964,434,350,252,-0.3160167026204414,-0.7424
