,Time,00,01,Bz,10,11,mz
0,0.01,4999,1,9.99,0.0,0.0,0.9998
1,0.21000000000000002,4920,77,9.79,3.0,0.0,0.984
2,0.41000000000000003,4896,89,9.59,15.0,0.0,0.9792
3,0.6100000000000001,4950,3,9.39,46.0,1.0,0.9898
4,0.81,4812,117,9.19,71.0,0.0,0.9624
5,1.01,4861,22,8.99,112.0,5.0,0.9712
6,1.21,4748,58,8.79,191.0,3.0,0.949
7,1.41,4679,98,8.59,221.0,2.0,0.9354
8,1.6099999999999999,4620,21,8.39,349.0,10.0,0.922
9,1.8099999999999998,4535,109,8.19,353.0,3.0,0.9064
10,2.01,4472,8,7.99,504.0,16.0,0.8912
11,2.21,4272,118,7.79,609.0,1.0,0.8542000000000001
12,2.41,4240,2,7.59,738.0,20.0,0.844
13,2.6100000000000003,4003,121,7.39,874.0,2.0,0.8002
14,2.8100000000000005,3956,3,7.1899999999999995,1025.0,16.0,0.788
15,3.0100000000000007,3732,108,6.989999999999999,1152.0,8.0,0.7447999999999999
16,3.210000000000001,3558,7,6.789999999999999,1389.0,46.0,0.7024
17,3.410000000000001,3476,112,6.589999999999999,1391.0,21.0,0.6910000000000001
18,3.610000000000001,3212,23,6.389999999999999,1745.0,20.0,0.6384
19,3.8100000000000014,3081,77,6.189999999999999,1787.0,55.0,0.6052
20,4.010000000000002,2846,87,5.989999999999998,2064.0,3.0,0.5686
21,4.210000000000002,2727,20,5.789999999999998,2182.0,71.0,0.5312
22,4.410000000000002,2598,110,5.589999999999998,2254.0,38.0,0.5119999999999999
23,4.610000000000002,2371,9,5.389999999999998,2587.0,33.0,0.4676
24,4.810000000000002,2297,55,5.189999999999998,2523.0,125.0,0.43439999999999995
25,5.0100000000000025,1978,73,4.9899999999999975,2918.0,31.0,0.3894
26,5.210000000000003,1863,8,4.789999999999997,3060.0,69.0,0.3588
27,5.410000000000003,1778,63,4.589999999999997,2997.0,162.0,0.32320000000000004
28,5.610000000000003,1664,33,4.389999999999997,3251.0,52.0,0.32239999999999996
29,5.810000000000003,1677,11,4.189999999999997,3251.0,61.0,0.3232
30,6.010000000000003,1655,63,3.9899999999999967,3077.0,205.0,0.29000000000000004
31,6.2100000000000035,1646,34,3.7899999999999965,3185.0,135.0,0.30219999999999997
32,6.410000000000004,1735,21,3.5899999999999963,3206.0,38.0,0.3394
33,6.610000000000004,1854,79,3.389999999999996,2937.0,130.0,0.3448
34,6.810000000000004,2083,88,3.189999999999996,2575.0,254.0,0.3658
35,7.010000000000004,2331,22,2.9899999999999958,2497.0,150.0,0.43620000000000003
36,7.210000000000004,2453,101,2.7899999999999956,2380.0,66.0,0.4774
37,7.410000000000005,2828,198,2.5899999999999954,1877.0,97.0,0.5462
38,7.610000000000005,3306,189,2.3899999999999952,1346.0,159.0,0.6294
39,7.810000000000005,3673,86,2.189999999999995,1087.0,154.0,0.7038
40,8.010000000000005,3758,218,1.9899999999999949,909.0,115.0,0.7286
41,8.210000000000004,3905,456,1.7899999999999956,579.0,60.0,0.769
42,8.410000000000004,4146,623,1.5899999999999963,189.0,42.0,0.8208000000000001
43,8.610000000000003,4391,523,1.389999999999997,53.0,33.0,0.8715999999999999
44,8.810000000000002,4494,441,1.1899999999999977,21.0,44.0,0.89
45,9.010000000000002,4361,458,0.9899999999999984,119.0,62.0,0.8598
46,9.21,3866,703,0.7899999999999991,300.0,131.0,0.747
47,9.41,3229,864,0.5899999999999999,659.0,248.0,0.5962000000000001
48,9.61,2519,922,0.39000000000000057,1181.0,378.0,0.4282
49,9.809999999999999,1831,703,0.19000000000000128,1683.0,783.0,0.20960000000000004
