,Time,00,01,Bz,10,11,mz
0,0.01,4995,5,9.99,0.0,0.0,0.999
1,1.0,4442,183,9.0,352.0,23.0,0.8837999999999999
2,1.99,3277,57,8.01,1510.0,156.0,0.6242
3,2.98,1548,59,7.02,3287.0,106.0,0.2884
4,3.9699999999999998,640,40,6.03,3754.0,566.0,0.014800000000000008
5,4.96,1275,45,5.04,3075.0,605.0,0.134
6,5.95,3182,445,4.05,1228.0,145.0,0.6073999999999999
7,6.94,4220,764,3.0599999999999996,8.0,8.0,0.8423999999999999
8,7.930000000000001,1894,715,2.0699999999999994,2073.0,318.0,0.31520000000000004
9,8.92,484,36,1.08,3186.0,1294.0,-0.16199999999999998
10,9.91,2068,1836,0.08999999999999986,475.0,621.0,0.2894
