,Time,00,01,10,11,Bz,Exact,Interaction,mz
0,0.0,84,145,160,4611,2.0,0.9934963032127411,0.9838436927881218,0.9054
1,0.9375,83,228,197,4492,1.0053769008831717,0.9917822201537054,0.9614507460694078,0.8818
2,1.875,154,313,268,4265,0.7276186686073227,0.9833200545153618,0.9453932607953994,0.8221999999999999
3,2.8125,111,280,384,4225,0.5950203143607911,0.965182858873568,0.9339794557274951,0.8228
4,3.75,170,325,365,4140,0.5160282361760397,0.9387231067076904,0.9232103555423861,0.7939999999999999
5,4.6875,263,325,309,4103,0.4626328567871872,0.9059642175099342,0.909519717421739,0.768
6,5.625,228,430,407,3935,0.42338780895260075,0.8685977301741656,0.8903991755688793,0.7414000000000001
7,6.5625,285,455,591,3669,0.3927257535104176,0.8279101977162783,0.8644532939014663,0.6768
8,7.5,332,910,697,3061,0.3676107271500483,0.7848763426557999,0.8310656479486807,0.5458
9,8.4375,567,582,655,3196,0.3462164585834849,0.7401503870874687,0.7900732025087124,0.5258
10,9.375,639,891,698,2772,0.3273859484211646,0.6940764709276624,0.741706313464893,0.4266
11,10.3125,725,1047,820,2408,0.31031652317970976,0.6468130417216762,0.686629359749521,0.3366
12,11.25,339,1238,1043,2380,0.29443848438020886,0.5984728689611445,0.6258579026602581,0.4082
13,12.1875,562,1055,1323,2060,0.2793007579816789,0.549159822643189,0.5605652375766654,0.2996
14,13.125,593,1223,1334,1850,0.26452019917806163,0.49891936942981785,0.4919592598666795,0.2514
15,14.0625,859,1140,1316,1685,0.2497562817975381,0.4477143891797814,0.4213225336741031,0.1652
16,15.0,1302,1224,1153,1321,0.2346664464503505,0.395487362934581,0.35012633297134577,0.00379999999999997
17,15.9375,1279,1466,1118,1137,0.21888186913538385,0.3422693774553693,0.28008000795237015,-0.028400000000000036
18,16.875,977,1698,1397,928,0.2019441589327732,0.28825931963446916,0.21306008031220017,-0.009800000000000003
19,17.8125,670,1728,1774,828,0.18329771568821743,0.23384770487770848,0.15098674729967063,0.03159999999999999
20,18.75,747,1663,1804,786,0.16215093369853073,0.17961809243174479,0.09570821774685824,0.007800000000000001
21,19.6875,854,1723,1687,736,0.13736261855378665,0.12637259769390743,0.048893637716528,-0.02360000000000001
22,20.625,1024,1693,1614,669,0.1071350656659372,0.07518840828913678,0.011806938313344052,-0.07100000000000001
23,21.5625,1041,1861,1500,598,0.06851034518499709,0.027430163448333943,-0.015275648037658837,-0.0886
24,22.5,1327,1657,1417,599,0.01667558452112113,-0.015469407887041736,-0.034385746208452805,-0.1456
