,Time,00,01,10,11,Bz,Exact,Interaction,mz
0,0.0,70,159,114,4657,2.0,0.9999274443607153,0.9928086358538664,0.9174
1,2.08,73,145,200,4582,0.5522529190220353,0.992803441395425,0.980666264000009,0.9018
2,4.16,151,173,270,4406,0.4152550012826589,0.9786102041498985,0.96689769803135,0.851
3,6.24,140,176,388,4296,0.3626420676777551,0.9603045779629287,0.9513820530883085,0.8311999999999999
4,8.32,173,337,247,4243,0.3342154773133064,0.9389072279423651,0.9336056613877998,0.8140000000000001
5,10.4,199,264,394,4143,0.3160167026204415,0.9147719711807892,0.9131942394954653,0.7888
6,12.48,245,348,464,3943,0.30302773195616556,0.8880142540710482,0.8896554754692297,0.7395999999999999
7,14.56,344,534,438,3684,0.2930901475764206,0.8586624714357489,0.862906303973478,0.668
8,16.64,375,527,601,3497,0.2850602952704636,0.8266674456858851,0.8326869664091721,0.6244000000000001
9,18.72,514,605,638,3243,0.27825758265495487,0.7920188100781818,0.7988426972634484,0.5458
10,20.8,771,681,551,2997,0.27217660863725457,0.7546684698551284,0.761506548933775,0.44520000000000004
11,22.880000000000003,888,717,795,2600,0.26678198061113373,0.7145563787955213,0.7204733014106661,0.34240000000000004
12,24.96,442,917,1013,2628,0.26158144430853614,0.6716966004126018,0.675796257559333,0.4371999999999999
13,27.04,693,1067,916,2324,0.2565555411457909,0.6260471150587809,0.6277295290035982,0.3262
14,29.12,679,1036,1191,2094,0.2515921034069167,0.5775866205931758,0.576100083916754,0.28300000000000003
15,31.200000000000003,662,1131,1363,1844,0.24646869294579662,0.5263938355960924,0.5211406580331368,0.23640000000000003
16,33.28,719,1434,1098,1749,0.24108851480926666,0.4725291827129354,0.46332348965996323,0.206
17,35.36,1004,1147,1497,1352,0.23527090127464428,0.4161339047927245,0.4027011747058278,0.06959999999999997
18,37.44,975,1406,1498,1121,0.22872222354016628,0.35755872937741384,0.33985346776022896,0.029200000000000004
19,39.52,1055,1680,1302,963,0.22101148475023322,0.29729123746771036,0.2759338234510358,-0.0184
20,41.6,1078,1457,1658,807,0.21167516953421647,0.23614089282535589,0.212020221346792,-0.054200000000000026
21,43.68,942,1580,1800,678,0.199720896984992,0.17562117984450415,0.15015759810941118,-0.052800000000000014
22,45.760000000000005,999,1825,1534,642,0.18324403542600273,0.11828899123073924,0.09438800072574058,-0.07140000000000002
23,47.84,1174,1554,1687,585,0.1583883868256104,0.0686147017741988,0.05111502874171986,-0.1178
24,49.92,1136,1525,1762,577,0.11481101866226774,0.03490815945271768,0.031275507776095245,-0.11180000000000001
25,52.0,1149,1630,1481,740,0.014229308973664053,0.0317867358117811,0.05041970474819893,-0.08180000000000001
