,Time,00,01,10,11,Bz,mz
0,0.0,75,167,201,4557,2.0,0.8964
1,2.08,119,262,401,4218,0.5522529190220353,0.8198
2,4.16,125,254,538,4083,0.4152550012826589,0.7916
3,6.24,165,430,386,4019,0.3626420676777551,0.7707999999999999
4,8.32,164,546,373,3917,0.3342154773133064,0.7505999999999999
5,10.4,192,496,554,3758,0.3160167026204415,0.7132000000000001
