,Time,00,01,10,11,Bz,mz
0,0.0,54,238,122,4586,2.0,0.9064
1,2.08,74,171,196,4559,0.5522529190220353,0.897
2,4.16,108,332,231,4329,0.4152550012826589,0.8442000000000001
3,6.24,123,303,244,4330,0.3626420676777551,0.8414
4,8.32,274,400,296,4030,0.3342154773133064,0.7512000000000001
5,10.4,281,330,357,4032,0.3160167026204415,0.7502
