,Time,00,01,10,11,Bz,Exact,Interaction,mz
0,0.0,35,166,121,4678,2.0,0.9999274443607153,0.9928086358538664,0.9286
1,2.08,59,200,166,4575,0.5522529190220353,0.992803441395425,0.980666264000009,0.9032
2,4.16,72,257,239,4432,0.4152550012826589,0.9786102041498985,0.96689769803135,0.872
3,6.24,114,315,299,4272,0.3626420676777551,0.9603045779629287,0.9513820530883085,0.8316
4,8.32,121,354,377,4148,0.3342154773133064,0.9389072279423651,0.9336056613877998,0.8054
5,10.4,147,439,414,4000,0.3160167026204415,0.9147719711807892,0.9131942394954653,0.7706000000000001
6,12.48,144,530,512,3814,0.30302773195616556,0.8880142540710482,0.8896554754692297,0.734
7,14.56,182,590,575,3653,0.2930901475764206,0.8586624714357489,0.862906303973478,0.6942
8,16.64,228,666,658,3448,0.2850602952704636,0.8266674456858851,0.8326869664091721,0.644
9,18.72,200,747,728,3325,0.27825758265495487,0.7920188100781818,0.7988426972634484,0.625
10,20.8,211,849,780,3160,0.27217660863725457,0.7546684698551284,0.761506548933775,0.5898
11,22.880000000000003,249,900,858,2993,0.26678198061113373,0.7145563787955213,0.7204733014106661,0.5488000000000001
12,24.96,263,1002,970,2765,0.26158144430853614,0.6716966004126018,0.675796257559333,0.5004000000000001
13,27.04,266,1092,1095,2547,0.2565555411457909,0.6260471150587809,0.6277295290035982,0.45619999999999994
14,29.12,318,1183,1105,2394,0.2515921034069167,0.5775866205931758,0.576100083916754,0.4152
15,31.200000000000003,263,1287,1275,2175,0.24646869294579662,0.5263938355960924,0.5211406580331368,0.3824
16,33.28,314,1347,1341,1998,0.24108851480926666,0.4725291827129354,0.46332348965996323,0.3368
17,35.36,328,1413,1460,1799,0.23527090127464428,0.4161339047927245,0.4027011747058278,0.2942
18,37.44,379,1530,1516,1575,0.22872222354016628,0.35755872937741384,0.33985346776022896,0.2392
19,39.52,380,1624,1588,1408,0.22101148475023322,0.29729123746771036,0.2759338234510358,0.2056
20,41.6,423,1705,1692,1180,0.21167516953421647,0.23614089282535589,0.212020221346792,0.15139999999999998
21,43.68,438,1759,1794,1009,0.199720896984992,0.17562117984450415,0.15015759810941118,0.11420000000000001
22,45.760000000000005,447,1888,1812,853,0.18324403542600273,0.11828899123073924,0.09438800072574058,0.08120000000000001
23,47.84,461,1878,1886,775,0.1583883868256104,0.0686147017741988,0.05111502874171986,0.0628
24,49.92,495,1920,1896,689,0.11481101866226774,0.03490815945271768,0.031275507776095245,0.0388
25,52.0,552,1868,1810,770,0.014229308973664053,0.0317867358117811,0.05041970474819893,0.0436
