,Time,00,01,10,Bz,11,Exact,Interaction,mz
0,0.0,4927,45,28,-2.0,0.0,-0.9934963032127413,-0.9838436927881213,-0.9854
1,0.9375,4809,95,96,-1.0053769008831717,0.0,-0.9917822201537052,-0.9614507460694067,-0.9618
2,1.875,4716,140,142,-0.7276186686073226,2.0,-0.983320054515361,-0.9453932607953982,-0.9428000000000001
3,2.8125,4675,162,162,-0.5950203143607911,1.0,-0.9651828588735673,-0.9339794557274933,-0.9348000000000001
4,3.75,4603,198,199,-0.5160282361760397,0.0,-0.9387231067076891,-0.9232103555423837,-0.9206
5,4.6875,4544,216,239,-0.4626328567871872,1.0,-0.9059642175099325,-0.9095197174217362,-0.9086000000000001
6,5.625,4425,265,305,-0.4233878089526007,5.0,-0.8685977301741643,-0.8903991755688763,-0.884
7,6.5625,4324,318,348,-0.3927257535104175,10.0,-0.8279101977162772,-0.8644532939014629,-0.8628
8,7.5,4173,414,410,-0.36761072715004817,3.0,-0.7848763426557976,-0.8310656479486769,-0.834
9,8.4375,3968,531,490,-0.3462164585834848,11.0,-0.7401503870874668,-0.7900732025087086,-0.7914
10,9.375,3724,636,631,-0.32738594842116453,9.0,-0.6940764709276601,-0.7417063134648892,-0.743
11,10.3125,3416,765,796,-0.3103165231797097,23.0,-0.6468130417216739,-0.6866293597495174,-0.6786
12,11.25,3107,931,940,-0.2944384843802088,22.0,-0.5984728689611424,-0.6258579026602547,-0.617
13,12.1875,2796,1110,1061,-0.27930075798167886,33.0,-0.5491598226431869,-0.5605652375766623,-0.5526
14,13.125,2506,1242,1210,-0.2645201991780616,42.0,-0.49891936942981585,-0.4919592598666764,-0.49279999999999996
15,14.0625,2153,1421,1379,-0.24975628179753803,47.0,-0.4477143891797794,-0.4213225336741001,-0.42119999999999996
16,15.0,1773,1557,1603,-0.23466644645035045,67.0,-0.3954873629345794,-0.3501263329713432,-0.3412
17,15.9375,1469,1759,1708,-0.2188818691353838,64.0,-0.3422693774553677,-0.28008000795236804,-0.281
18,16.875,1097,1880,1922,-0.20194415893277315,101.0,-0.2882593196344678,-0.2130600803121985,-0.19920000000000002
19,17.8125,873,2015,1999,-0.1832977156882173,113.0,-0.23384770487770729,-0.15098674729966943,-0.152
20,18.75,601,2174,2132,-0.16215093369853056,93.0,-0.17961809243174368,-0.09570821774685746,-0.1016
21,19.6875,393,2215,2257,-0.13736261855378643,135.0,-0.12637259769390663,-0.04889363771652766,-0.05160000000000001
22,20.625,257,2287,2296,-0.10713506566593695,160.0,-0.07518840828913616,-0.011806938313344107,-0.0194
23,21.5625,138,2292,2356,-0.06851034518499674,214.0,-0.027430163448333537,0.015275648037658483,0.015199999999999998
24,22.5,124,2277,2341,-0.016675584521120678,258.0,0.015469407887041962,0.03438574620845227,0.0268
