,Time,00,01,10,Bz,11,Exact,Interaction,mz
0,0.0,4952,28,20,-2.0,0.0,-0.9998183916840001,-0.987227283375627,-0.9904
1,1.6666666666666667,4844,74,82,-0.6987955630518186,0.0,-0.9916875685530717,-0.9713932496285423,-0.9688
2,3.3333333333333335,4799,106,93,-0.505796958310713,2.0,-0.9703589197018685,-0.958446134548113,-0.9594
3,5.0,4717,141,142,-0.4265966090619508,0.0,-0.9443110996315744,-0.9458439978293544,-0.9434
4,6.666666666666667,4647,170,180,-0.3825262098228652,3.0,-0.9166881459502166,-0.9307235098435837,-0.9288
5,8.333333333333334,4559,240,200,-0.35381770118090106,1.0,-0.8883045887804252,-0.9114478403322718,-0.9116000000000001
6,10.0,4423,276,299,-0.33314123507901466,2.0,-0.8589218874638354,-0.8866378071517701,-0.8842000000000001
7,11.666666666666668,4275,361,360,-0.31717268931886955,4.0,-0.8280951017511314,-0.8557161291828793,-0.8542
8,13.333333333333334,4071,448,476,-0.30411096684556227,5.0,-0.7952624812777246,-0.8187269749712709,-0.8132
9,15.0,3869,590,535,-0.29296905532788703,6.0,-0.759740012076356,-0.7754108888629979,-0.7726000000000001
10,16.666666666666668,3622,665,701,-0.28309927218708014,12.0,-0.721072207094442,-0.7259945342080594,-0.7220000000000001
11,18.333333333333336,3370,775,845,-0.2740590662963159,10.0,-0.6789151856435465,-0.6713034304695628,-0.672
12,20.0,3039,973,979,-0.2655419164715683,9.0,-0.6328413700665211,-0.6116840759379604,-0.606
13,21.666666666666668,2713,1119,1153,-0.25719286525920015,15.0,-0.5826322421389883,-0.5474630747637115,-0.5396
14,23.333333333333336,2397,1296,1296,-0.24888518154653744,11.0,-0.528358945262853,-0.4798566769665815,-0.4772
15,25.0,2116,1438,1430,-0.24031341209675114,16.0,-0.4700869275903033,-0.41008250921656186,-0.42000000000000004
16,26.666666666666668,1693,1631,1659,-0.23122806938608698,17.0,-0.4079811647981434,-0.33881790198926887,-0.3352
17,28.333333333333336,1387,1810,1775,-0.22130392259490478,28.0,-0.342695722479259,-0.2673145997223864,-0.2718
18,30.0,1058,1990,1926,-0.2100917246858535,26.0,-0.27534251388283965,-0.19789802707891888,-0.2064
19,31.666666666666668,694,2149,2130,-0.19691774216048216,27.0,-0.2073676936152353,-0.1330648456501763,-0.13340000000000002
20,33.333333333333336,422,2268,2274,-0.18070752596143141,36.0,-0.14095396442787095,-0.0753022705435217,-0.0772
21,35.0,178,2407,2375,-0.15966864565031735,40.0,-0.0796696090153868,-0.028186620700020447,-0.0276
22,36.66666666666667,41,2413,2499,-0.13025011990656163,47.0,-0.028869824447486103,0.003169777984382831,0.0011999999999999997
23,38.333333333333336,1,2453,2474,-0.08462603075151653,72.0,0.004171444228849833,0.013723304205105048,0.014199999999999999
24,40.0,89,2420,2396,-0.0013814790335654888,95.0,0.012028320013822761,0.005375511988787782,0.0011999999999999997
