,00,01,10,Time,Bz,11,mz
0,4952.000002761562,28.000004340462894,19.9999928979741,0.0,-2.0,0.0,-0.9904
1,4844.000006254416,73.99999713643712,81.99999660914683,1.6666666666666667,-0.6987955630518186,0.0,-0.9688
2,4798.9999679674265,106.00002581725158,93.00002111020363,3.3333333333333335,-0.505796958310713,1.9999851051178648,-0.9594
3,4716.999999897285,141.00000002111943,142.00000008159472,5.0,-0.4265966090619508,0.0,-0.9434
4,4646.999897096151,170.00014124511193,180.0000623628372,6.666666666666667,-0.3825262098228652,2.9998992959006583,-0.9288
5,4558.999854839372,240.00012175068258,200.00005727670134,8.333333333333334,-0.35381770118090106,0.9999661332437904,-0.9116000000000001
6,4422.99998488311,276.00000997108873,299.0000116456663,10.0,-0.33314123507901466,1.9999935001338642,-0.8842000000000001
7,4275.000157986028,360.99994189844494,359.99989247065787,11.666666666666668,-0.31717268931886955,4.0000076448691075,-0.8542
8,4070.9998578901277,448.0001520649459,476.0001099618878,13.333333333333334,-0.30411096684556227,4.999880083038966,-0.8132
9,3868.9999416495343,590.000045793903,535.0000384965495,15.0,-0.29296905532788703,5.999974060013609,-0.7726000000000001
10,3621.9999969887435,664.9999959606712,701.0000019862687,16.666666666666668,-0.28309927218708014,12.000005064316698,-0.7220000000000001
11,3369.999859556795,775.0001092911377,845.0001094231782,18.333333333333336,-0.2740590662963159,9.999921728889069,-0.672
12,3038.9999310286753,973.0001227390663,978.9999477298194,20.0,-0.2655419164715683,8.999998502438434,-0.606
13,2712.999670893381,1119.000180424519,1153.0001587768916,21.666666666666668,-0.25719286525920015,14.999989905208109,-0.5396
14,2396.999929910918,1296.0000258601178,1296.000045366464,23.333333333333336,-0.24888518154653744,10.99999886250042,-0.4772
15,2115.9996352797957,1438.0001267730493,1430.0002493193451,25.0,-0.24031341209675114,15.99998862781052,-0.42000000000000004
16,1692.9999998478368,1630.9999998167327,1659.000000353957,26.666666666666668,-0.23122806938608698,16.99999998147335,-0.3352
17,1386.9999995578114,1809.999992236677,1775.000005806874,28.333333333333336,-0.22130392259490478,28.000002398637207,-0.2718
18,1057.999995634389,1990.000024255146,1925.999979461041,30.0,-0.2100917246858535,26.00000064942434,-0.2064
19,693.9999873468713,2149.0000064215665,2130.000005191816,31.666666666666668,-0.19691774216048216,27.000001039747122,-0.13340000000000002
20,421.99997512594535,2268.0000442351497,2273.9999764802333,33.333333333333336,-0.18070752596143141,36.000004158670805,-0.0772
21,178.00001076893588,2407.0000202737315,2375.000052379381,35.0,-0.15966864565031735,39.99991657795181,-0.0276
22,40.99999388596789,2413.0000156671476,2499.0000002699257,36.66666666666667,-0.13025011990656163,46.99999017695852,0.0011999999999999997
23,0.9998411251676702,2453.0000084560843,2473.999958660033,38.333333333333336,-0.08462603075151653,72.00019175871466,0.014199999999999999
24,88.99999985108124,2420.00000004325,2395.9999999559395,40.0,-0.0013814790335654888,95.00000014972856,0.0011999999999999997
