,Time,00,01,10,11,Bz,Exact,Interaction,mz
0,0.0,4831,100,57,12,-2.0,-0.999927444360715,-0.9928086358538664,-0.9638
1,2.08,4701,140,133,26,-0.5522529190220351,-0.9928034413954245,-0.9806662640000092,-0.935
2,4.16,4564,198,183,55,-0.41525500128265885,-0.9786102041498976,-0.9668976980313502,-0.9017999999999999
3,6.24,4418,261,245,76,-0.36264206767775514,-0.9603045779629278,-0.9513820530883085,-0.8684000000000001
4,8.32,4291,322,300,87,-0.3342154773133064,-0.9389072279423643,-0.9336056613877995,-0.8408
5,10.4,4128,401,370,101,-0.3160167026204414,-0.9147719711807889,-0.9131942394954652,-0.8054
6,12.48,4028,438,421,113,-0.30302773195616545,-0.8880142540710481,-0.8896554754692297,-0.783
7,14.56,3814,533,507,146,-0.2930901475764205,-0.8586624714357491,-0.8629063039734778,-0.7336
8,16.64,3641,593,596,170,-0.2850602952704636,-0.8266674456858853,-0.8326869664091717,-0.6941999999999999
9,18.72,3429,714,669,188,-0.27825758265495487,-0.7920188100781822,-0.7988426972634481,-0.6482
10,20.8,3336,732,741,191,-0.27217660863725457,-0.7546684698551286,-0.7615065489337748,-0.629
11,22.880000000000003,3123,848,810,219,-0.26678198061113373,-0.7145563787955213,-0.7204733014106659,-0.5808000000000001
12,24.96,2957,931,908,204,-0.261581444308536,-0.6716966004126014,-0.6757962575593327,-0.5506
13,27.04,2731,1005,1024,240,-0.25655554114579093,-0.6260471150587805,-0.6277295290035978,-0.49820000000000003
14,29.12,2503,1147,1091,259,-0.2515921034069167,-0.5775866205931753,-0.5761000839167538,-0.44880000000000003
15,31.200000000000003,2288,1268,1157,287,-0.24646869294579665,-0.5263938355960918,-0.5211406580331367,-0.4002
16,33.28,2058,1310,1335,297,-0.2410885148092667,-0.472529182712935,-0.46332348965996284,-0.3522
17,35.36,1852,1391,1424,333,-0.23527090127464428,-0.41613390479272416,-0.40270117470582745,-0.3038
18,37.44,1649,1531,1524,296,-0.2287222235401663,-0.3575587293774134,-0.33985346776022873,-0.27059999999999995
19,39.52,1434,1609,1650,307,-0.2210114847502333,-0.29729123746770975,-0.2759338234510355,-0.2254
20,41.6,1265,1667,1714,354,-0.21167516953421656,-0.2361408928253554,-0.21202022134679174,-0.1822
21,43.68,1104,1788,1765,343,-0.19972089698499204,-0.1756211798445037,-0.15015759810941115,-0.1522
22,45.760000000000005,917,1813,1878,392,-0.1832440354260028,-0.11828899123073891,-0.09438800072574069,-0.10500000000000001
23,47.84,742,1893,1966,399,-0.15838838682561052,-0.06861470177419858,-0.05111502874171972,-0.06860000000000001
24,49.92,789,1948,1807,456,-0.114811018662268,-0.034908159452717524,-0.03127550777609455,-0.06659999999999999
25,52.0,854,1782,1904,460,-0.014229308973664053,-0.03178673581178081,-0.050419704748197534,-0.07880000000000001
