,Time,00,01,10,11,Bz,Exact,Interaction,mz
0,0.0,4835,84,63,18,-2.0,-0.9998183916840001,-0.987227283375627,-0.9633999999999999
1,1.6666666666666667,4688,162,119,31,-0.6987955630518186,-0.9916875685530717,-0.9713932496285423,-0.9314
2,3.3333333333333335,4561,230,159,50,-0.505796958310713,-0.9703589197018685,-0.958446134548113,-0.9022
3,5.0,4391,306,242,61,-0.4265966090619508,-0.9443110996315744,-0.9458439978293544,-0.866
4,6.666666666666667,4242,344,324,90,-0.3825262098228652,-0.9166881459502166,-0.9307235098435837,-0.8304
5,8.333333333333334,4123,390,383,104,-0.35381770118090106,-0.8883045887804252,-0.9114478403322718,-0.8038
6,10.0,4001,433,431,135,-0.33314123507901466,-0.8589218874638354,-0.8866378071517701,-0.7732
7,11.666666666666668,3830,518,496,156,-0.31717268931886955,-0.8280951017511314,-0.8557161291828793,-0.7348
8,13.333333333333334,3635,611,577,177,-0.30411096684556227,-0.7952624812777246,-0.8187269749712709,-0.6916
9,15.0,3401,735,710,154,-0.29296905532788703,-0.759740012076356,-0.7754108888629979,-0.6494
10,16.666666666666668,3162,827,824,187,-0.28309927218708014,-0.721072207094442,-0.7259945342080594,-0.595
11,18.333333333333336,2994,853,938,215,-0.2740590662963159,-0.6789151856435465,-0.6713034304695628,-0.5558
12,20.0,2706,1080,988,226,-0.2655419164715683,-0.6328413700665211,-0.6116840759379604,-0.496
13,21.666666666666668,2470,1174,1099,257,-0.25719286525920015,-0.5826322421389883,-0.5474630747637115,-0.4426
14,23.333333333333336,2187,1236,1304,273,-0.24888518154653744,-0.528358945262853,-0.4798566769665815,-0.38280000000000003
15,25.0,1946,1398,1371,285,-0.24031341209675114,-0.4700869275903033,-0.41008250921656186,-0.3322
16,26.666666666666668,1715,1478,1503,304,-0.23122806938608698,-0.4079811647981434,-0.33881790198926887,-0.2822
17,28.333333333333336,1464,1557,1647,332,-0.22130392259490478,-0.342695722479259,-0.2673145997223864,-0.2264
18,30.0,1231,1682,1755,332,-0.2100917246858535,-0.27534251388283965,-0.19789802707891888,-0.17980000000000002
19,31.666666666666668,1018,1875,1698,409,-0.19691774216048216,-0.2073676936152353,-0.1330648456501763,-0.1218
20,33.333333333333336,831,1897,1917,355,-0.18070752596143141,-0.14095396442787095,-0.0753022705435217,-0.09519999999999999
21,35.0,736,1942,1927,395,-0.15966864565031735,-0.0796696090153868,-0.028186620700020447,-0.0682
22,36.66666666666667,696,2005,1897,402,-0.13025011990656163,-0.028869824447486103,0.003169777984382831,-0.05879999999999999
23,38.333333333333336,612,1985,1937,466,-0.08462603075151653,0.004171444228849833,0.013723304205105048,-0.02919999999999999
24,40.0,695,1879,1877,549,-0.0013814790335654888,0.012028320013822761,0.005375511988787782,-0.029200000000000018
