,00,01,10,11,Time,Bz,mz
0,4897.239903440205,54.669795573720286,36.22042467305947,11.869876313015062,0.0,-2.0,-0.9638
1,4763.474680853591,96.37661371064304,114.64134301266871,25.50736242309713,2.08,-0.5522529190220351,-0.935
2,4622.850002893449,156.15841036338028,166.17920197508667,54.81238476808425,4.16,-0.41525500128265885,-0.9017999999999999
3,4472.81063750022,221.27878817419193,230.19880435997055,75.71176996561746,6.24,-0.36264206767775514,-0.8684000000000001
4,4342.194905069891,284.3773901524194,287.0926668445452,86.3350379331445,8.32,-0.3342154773133064,-0.8408
5,4174.55568689894,366.08544647179826,359.5094476016412,99.84941902762087,10.4,-0.3160167026204414,-0.8054
6,4071.7137223094123,404.48066452410956,412.1549803414551,111.65063282502292,12.48,-0.30302773195616545,-0.783
7,3851.847785774577,502.58897073613326,500.95192170011296,144.61132178917714,14.56,-0.2930901475764205,-0.7336
8,3673.9703680734997,564.8679901660388,592.770546982458,168.3910947780043,16.64,-0.2850602952704636,-0.6941999999999999
9,3456.026101805188,689.7075633532186,668.4376472139631,185.82868762763022,18.72,-0.27825758265495487,-0.6482
10,3360.148707709831,708.8895477000156,742.7430753469827,188.21866924317055,20.8,-0.27217660863725457,-0.629
11,3141.3306078649343,828.4499239353563,814.1586404637502,216.0608277359593,22.880000000000003,-0.26678198061113373,-0.5808000000000001
12,2970.07984281266,914.8467690820314,915.7682675548946,199.3051205504141,24.96,-0.261581444308536,-0.5506
13,2737.771422679204,991.6542185091856,1035.3736746298785,235.2006841817324,27.04,-0.25655554114579093,-0.49820000000000003
14,2503.4327389747673,1137.9948192655336,1104.9412119189049,253.63122984079456,29.12,-0.2515921034069167,-0.44880000000000003
15,2282.575057928609,1262.661005451403,1173.2867236314269,281.477212988561,31.200000000000003,-0.24646869294579665,-0.4002
16,2045.4936468973376,1307.4883334058695,1356.948110729735,290.06990896705764,33.28,-0.2410885148092667,-0.3522
17,1833.8718217847936,1391.2149260641688,1448.7420718439041,326.1711803071341,35.36,-0.23527090127464428,-0.3038
18,1624.3038754846527,1536.4092876771272,1552.9088546850435,286.37798215317656,37.44,-0.2287222235401663,-0.27059999999999995
19,1402.9126997216879,1617.6836537238778,1683.103246055684,296.30040049875043,39.52,-0.2210114847502333,-0.2254
20,1229.5790107552882,1677.4201120185337,1748.8938574666524,344.1070197595252,41.6,-0.21167516953421656,-0.1822
21,1063.7590357889353,1802.3374799849164,1802.1712523677054,331.7322318584433,43.68,-0.19972089698499204,-0.1522
22,871.707842358313,1828.647732569603,1918.3187133437793,381.3257117283053,45.760000000000005,-0.1832440354260028,-0.10500000000000001
23,691.5544647317628,1911.635955982252,2009.3750209892605,387.4345582967243,47.84,-0.15838838682561052,-0.06860000000000001
24,741.4151972268567,1965.9477944192079,1845.0749374891586,447.56207086477616,49.92,-0.114811018662268,-0.06659999999999999
25,807.753448071773,1796.365002942081,1944.2861434765812,451.595405509565,52.0,-0.014229308973664053,-0.07880000000000001
