,Time,00,01,10,11,Bz,Exact,Interaction,mz
0,0.0,4803,86,91,20,-2.0,-0.9934963032127413,-0.9838436927881213,-0.9566
1,0.9375,4585,206,177,32,-1.0053769008831717,-0.9917822201537052,-0.9614507460694067,-0.9106000000000001
2,1.875,4484,249,229,38,-0.7276186686073226,-0.983320054515361,-0.9453932607953982,-0.8892
3,2.8125,4428,286,214,72,-0.5950203143607911,-0.9651828588735673,-0.9339794557274933,-0.8712000000000001
4,3.75,4248,315,346,91,-0.5160282361760397,-0.9387231067076891,-0.9232103555423837,-0.8314
5,4.6875,4099,388,397,116,-0.4626328567871872,-0.9059642175099325,-0.9095197174217362,-0.7966
6,5.625,3932,472,451,145,-0.4233878089526007,-0.8685977301741643,-0.8903991755688763,-0.7574
7,6.5625,3822,504,536,138,-0.3927257535104175,-0.8279101977162772,-0.8644532939014629,-0.7368
8,7.5,3603,637,615,145,-0.36761072715004817,-0.7848763426557976,-0.8310656479486769,-0.6916
9,8.4375,3412,681,734,173,-0.3462164585834848,-0.7401503870874668,-0.7900732025087086,-0.6478
10,9.375,3206,849,748,197,-0.32738594842116453,-0.6940764709276601,-0.7417063134648892,-0.6018
11,10.3125,2925,949,902,224,-0.3103165231797097,-0.6468130417216739,-0.6866293597495174,-0.5402
12,11.25,2709,1065,944,282,-0.2944384843802088,-0.5984728689611424,-0.6258579026602547,-0.48539999999999994
13,12.1875,2522,1114,1093,271,-0.27930075798167886,-0.5491598226431869,-0.5605652375766623,-0.45019999999999993
14,13.125,2192,1296,1228,284,-0.2645201991780616,-0.49891936942981585,-0.4919592598666764,-0.3816
15,14.0625,1987,1343,1342,328,-0.24975628179753803,-0.4477143891797794,-0.4213225336741001,-0.3318
16,15.0,1780,1461,1388,371,-0.23466644645035045,-0.3954873629345794,-0.3501263329713432,-0.2818
17,15.9375,1497,1538,1581,384,-0.2188818691353838,-0.3422693774553677,-0.28008000795236804,-0.22260000000000002
18,16.875,1287,1660,1651,402,-0.20194415893277315,-0.2882593196344678,-0.2130600803121985,-0.17700000000000002
19,17.8125,1120,1721,1746,413,-0.1832977156882173,-0.23384770487770729,-0.15098674729966943,-0.1414
20,18.75,931,1820,1827,422,-0.16215093369853056,-0.17961809243174368,-0.09570821774685746,-0.1018
21,19.6875,789,1872,1925,414,-0.13736261855378643,-0.12637259769390663,-0.04889363771652766,-0.075
22,20.625,735,1869,1921,475,-0.10713506566593695,-0.07518840828913616,-0.011806938313344107,-0.05199999999999999
23,21.5625,666,1953,1842,539,-0.06851034518499674,-0.027430163448333537,0.015275648037658483,-0.025400000000000006
24,22.5,656,1892,1910,542,-0.016675584521120678,0.015469407887041962,0.03438574620845227,-0.022800000000000015
